"","Kode Barang","Nama Barang","Merk","No Org","No Prod","Mobil","Harga Jual","Harga Beli","Stok","max stok","Total Penjualan"
"","00000355","BESI BETON 89","","","","","NaN","0","0","",""
"","00000356","BESI BETON 90","","","","","NaN","0","0","",""
"","00000357","BESI BETON 91","","","","","NaN","0","0","",""
"","00000358","BESI BETON 92","","","","","NaN","0","0","",""
"","00000359","BESI BETON 93","","","","","NaN","0","0","",""
"","00000360","BESI BETON 94","","","","","NaN","0","0","",""
"","00000361","BESI BETON 95","","","","","NaN","0","0","",""
"","00000362","BESI BETON 96","","","","","NaN","0","0","",""
"","00000363","BESI BETON ULIR 97","","","","","NaN","0","0","",""
"","00000364","BESI BETON ULIR 10","","","","","87000","0","1","","1863"
"","00000365","BESI BETON ULIR 10 SNI","","","","","67000","0","264","","2666"
"","00000366","BESI BETON ULIR 100","","","","","NaN","0","0","",""
"","00000367","BESI BETON ULIR 101 ","","","","","NaN","0","0","",""
"","00000368","BESI BETON ULIR 102 ","","","","","NaN","0","0","",""
"","00000369","BESI BETON ULIR 13","","","","","94000","0","0","","1465"
"","00000370","BESI BETON ULIR 13","10,5 X 12","","","","60000","0","1","","2755"
"","00000371","BESI BETON ULIR 13 SNI","","","","","73500","0","5","","4794"
"","00000372","BESI BETON ULIR 13","","","","","NaN","0","0","",""
"","00000373","BESI BETON ULIR 13","","","","","74000","0","3","","537"
"","00000374","BESI BETON ULIR 13","","","","","90000","0","0","","65"
"","00000375","BESI BETON ULIR 13","","","","","NaN","0","0","",""
"","00000376","BESI BETON ULIR 13","","","","","NaN","0","0","",""
"","00000377","BESI BETON ULIR 101","","","","","NaN","0","0","",""
"","00000378","BESI BETON ULIR 13 SNI","","","","","NaN","0","0","",""
"","00000379","BESI BETON ULIR 13","","","","","123000","0","13","","2840"
"","00000380","BESI BETON ULIR 16","","","","","NaN","0","0","",""
"","00000381","BESI BETON ULIR 16","","","","","NaN","0","0","",""
"","00000382","BESI BETON ULIR 16","","","","","175000","0","0","","2010"
"","00000383","BESI BETON ULIR 16","","","","","126000","0","5","","1454"
"","00000384","BESI BETON ULIR 16","","","","","116000","0","0","","500"
"","00000385","BESI BETON 16 MARKING","","","","","NaN","0","0","","3"
"","00000386","BESI BETON ULIR 16 SNI","","","","","NaN","0","0","",""
"","00000387","BESI BETON ULIR 13","","","","","112000","0","0","","50"
"","00000388","BESI BETON ULIR 19","","","","","250000","0","0","","597"
"","00000389","BESI BETON ULIR 206","","","","","NaN","0","0","",""
"","00000390","BESI BETON ULIR 207","","","","","NaN","0","0","",""
"","00000391","BESI BETON ULIR 22","","","","","NaN","0","0","",""
"","00000392","BESI BETON ULIR 22","","","","","265000","0","6","","368"
"","00000393","BESI BETON ULIR 25","","","","","NaN","0","0","",""
"","00000394","BESI BETON ULIR 251","","","","","NaN","0","0","",""
"","00000395","BESI BETON ULIR 29","","","","","NaN","0","0","",""
"","00000396","BESI BETON ULIR 300","","","","","NaN","0","0","",""
"","00000397","BESI BETON ULIR 99","","","","","NaN","0","0","",""
"","00000398","BESI SIKU 25 X 25 X 2","","","","","NaN","0","0","",""
"","00000399","BESI SIKU 3/3 TIPIS","","","","","NaN","0","0","",""
